Reference, Quantity, Value, Footprint, Datasheet, DPN, MPN, Purchasing Link, Purchasing_Link, PurchasingLink
C1 C2 C3 C4 ,4,"C_0u1","personal:C_0805","https://www.digikey.com/product-detail/en/kemet/C0805C104Z4VACTU/399-9159-1-ND/3522677","478-3352-1-ND","","","",""
D1 D2 D3 D4 D5 D6 D7 D8 ,8,"D_Zener_13V","personal:1SMB5928BT3G","http://www.onsemi.com/pub/Collateral/1SMB5913BT3-D.PDF","1SMB5928BT3GOSCT-ND","1SMB5928BT3G","","","https://www.digikey.com/product-detail/en/1SMB5928BT3G/1SMB5928BT3GOSCT-ND/917730?WT.z_cid=ref_octopart_dkc_buynow&site=us"
D9 ,1,"LED_GREEN","LEDs:LED_0603_HandSoldering","https://www.digikey.com/product-detail/en/kingbright/APTD1608CGCK/754-1545-1-ND/2514673","754-1545-1-ND","","","",""
F1 ,1,"Fuse_15A_72V","personal:0697H9200-01","https://belfuse.com/resources/datasheets/circuitprotection/ds-cp-0697h-series.pdf","507-1939-1-ND","0697H9150-02","","","https://www.digikey.com/en/products/detail/bel-fuse-inc/0697H9200-01/5208767"
J1 J3 ,2,"power_Conn_01x01","personal:power_pin_01x01","~"
J2 ,1,"XT-60_Female","personal:XT-60_female","https://cdn.sparkfun.com/datasheets/Prototyping/xt60.pdf","1568-1816-ND","PRT-10474","","https://www.digikey.com/en/products/detail/sparkfun-electronics/PRT-10474/8258064",""
J4 J5 ,2,"Conn_01x06","personal:header_01x06",""
J6 J7 J8 J9 ,4,"power_Conn_01x01","personal:power_pin_01x02","~"
K1 K2 K3 K4 K5 K6 K7 K8 ,8,"OMIH-SH-105L,394","personal:OMIH-SH-105L,394","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=6-1440000-9&DocType=Customer+Drawing&DocLang=English","PB1038-ND","OMIH-SH-105L,394","","","https://www.digikey.com/en/products/detail/te-connectivity-potter-brumfield-relays/OMIH-SH-105L-394/1128727"
K9 K10 K11 ,3,"AQY212SX","personal:AQY212SX","https://www3.panasonic.biz/ac/e_download/control/relay/photomos/catalog/semi_eng_gu1a_aqy21_s.pdf","255-3865-1-ND","AQY212SX","https://www.digikey.com/en/products/detail/panasonic-electric-works/AQY212SX/3471137","",""
Q1 Q2 Q3 Q4 Q5 Q6 Q7 Q8 Q9 ,9,"NVS4409NT1G","TO_SOT_Packages_SMD:SOT-323_SC-70","https://www.onsemi.com/pdf/datasheet/nts4409n-d.pdf","NVS4409NT1GOSCT-ND","NVS4409NT1G","https://www.digikey.com/en/products/detail/on-semiconductor/NVS4409NT1G/4848979","",""
R2 R5 R6 R7 R8 R13 R14 R15 R16 R28 ,10,"R_100K","personal:R_0805","","311-100KCRCT-ND","RC0805FR-07100KL","","",""
R21 R23 R25 ,3,"R_01","personal:R_1206_P_SNAP","https://www.susumu.co.jp/common/pdf/n_catalog_partition20_en.pdf","408-1980-1-ND","KRL3216T4A-M-R100-F-T1","","https://www.digikey.com/en/products/detail/susumu/KRL3216T4A-M-R100-F-T1/5762580",""
R22 R24 R26 ,3,"R_150_P","TO_SOT_Packages_SMD:TO-263-2","https://www.bourns.com/docs/Product-Datasheets/PWR263S-20.pdf","311-10.0CRCT-ND","PWR263S-20-1500JE","","",""
R27 ,1,"R_51.1","personal:R_0805","","RMCF0805FT51R1CT-ND","RMCF0805FT51R1","","",""
R29 ,1,"R_120","personal:R_0805","","A129738CT-ND","","","",""
R3 ,1,"R_5K","personal:R_0805","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf","311-1.0KARCT-ND","RC0805FR-074R99L","","https://www.digikey.com/en/products/detail/yageo/RC0805FR-074R99L/727937",""
R4 ,1,"R_0001","personal:R_1206_P","http://www.cyntec.com/upfile/products/download/RL1632T4F.pdf","311-1.0KARCT-ND","RL1632T4F-R001-FNH","","https://www.digikey.com/en/products/detail/delta-electronics-cyntec/RL1632T4F-R001-FNH/9762304",""
R1 R9 R10 R11 R12 R17 R18 R19 R20 ,9,"R_1K","personal:R_0805","","311-1.0KARCT-ND","","","",""
U1 ,1,"esp32_lora","personal:esp32_header_02x18","https://resource.heltec.cn/download/WiFi_LoRa_32/WIFI_LoRa_32_V2.pdf"
U2 U3 U4 U5 ,4,"INA240A4D","personal:SOIC-8_3.9x4.9mm_Pitch1.27mm","https://www.ti.com/lit/ds/symlink/ina240.pdf?HQS=dis-dk-null-digikeymode-dsf-pf-null-wwe&ts=1623881874399&ref_url=https%253A%252F%252Fwww.ti.com%252Fgeneral%252Fdocs%252Fsuppproductinfo.tsp%253FdistId%253D10%2526gotoUrl%253Dhttps%253A%252F%252Fwww.ti.com%252Flit%252Fgpn%252Fina240","296-48840-ND","INA240A4D","","https://www.digikey.com/en/products/detail/texas-instruments/INA240A4D/8571545",""